Unique Id,indicator_id,geo_type_id,measurement_type_id,internal_id,subtopic_id,name,Measure,geo_type_name,description,geo_entity_id,geo_entity_name,year_description,data_value,message
495069,370,3,104,2024,122,Black Carbon,Mean,UHF42,Neighborhood (UHF 42),404,Bayside - Little Neck,2016 Summer,0.77,
495003,370,3,104,2024,122,Black Carbon,Mean,UHF42,Neighborhood (UHF 42),203,Bedford Stuyvesant - Crown Heights,2016 Summer,0.88,
495021,370,3,104,2024,122,Black Carbon,Mean,UHF42,Neighborhood (UHF 42),209,Bensonhurst - Bay Ridge,2016 Summer,0.75,
495012,370,3,104,2024,122,Black Carbon,Mean,UHF42,Neighborhood (UHF 42),206,Borough Park,2016 Summer,0.76,
495018,370,3,104,2024,122,Black Carbon,Mean,UHF42,Neighborhood (UHF 42),208,Canarsie - Flatlands,2016 Summer,0.69,
495033,370,3,104,2024,122,Black Carbon,Mean,UHF42,Neighborhood (UHF 42),302,Central Harlem - Morningside Heights,2016 Summer,1.15,
495045,370,3,104,2024,122,Black Carbon,Mean,UHF42,Neighborhood (UHF 42),306,Chelsea - Clinton,2016 Summer,1.63,
495024,370,3,104,2024,122,Black Carbon,Mean,UHF42,Neighborhood (UHF 42),210,Coney Island - Sheepshead Bay,2016 Summer,0.66,
494988,370,3,104,2024,122,Black Carbon,Mean,UHF42,Neighborhood (UHF 42),105,Crotona -Tremont,2016 Summer,1.12,
495000,370,3,104,2024,122,Black Carbon,Mean,UHF42,Neighborhood (UHF 42),202,Downtown - Heights - Slope,2016 Summer,1.1,
495015,370,3,104,2024,122,Black Carbon,Mean,UHF42,Neighborhood (UHF 42),207,East Flatbush - Flatbush,2016 Summer,0.8,
495036,370,3,104,2024,122,Black Carbon,Mean,UHF42,Neighborhood (UHF 42),303,East Harlem,2016 Summer,1.17,
495006,370,3,104,2024,122,Black Carbon,Mean,UHF42,Neighborhood (UHF 42),204,East New York,2016 Summer,0.86,
495066,370,3,104,2024,122,Black Carbon,Mean,UHF42,Neighborhood (UHF 42),403,Flushing - Clearview,2016 Summer,0.81,
494982,370,3,104,2024,122,Black Carbon,Mean,UHF42,Neighborhood (UHF 42),103,Fordham - Bronx Pk,2016 Summer,0.92,
495075,370,3,104,2024,122,Black Carbon,Mean,UHF42,Neighborhood (UHF 42),406,Fresh Meadows,2016 Summer,0.77,
495048,370,3,104,2024,122,Black Carbon,Mean,UHF42,Neighborhood (UHF 42),307,Gramercy Park - Murray Hill,2016 Summer,1.61,
494997,370,3,104,2024,122,Black Carbon,Mean,UHF42,Neighborhood (UHF 42),201,Greenpoint,2016 Summer,1.27,
495051,370,3,104,2024,122,Black Carbon,Mean,UHF42,Neighborhood (UHF 42),308,Greenwich Village - SoHo,2016 Summer,1.69,
494991,370,3,104,2024,122,Black Carbon,Mean,UHF42,Neighborhood (UHF 42),106,High Bridge - Morrisania,2016 Summer,1.09,
494994,370,3,104,2024,122,Black Carbon,Mean,UHF42,Neighborhood (UHF 42),107,Hunts Point - Mott Haven,2016 Summer,1.07,
495081,370,3,104,2024,122,Black Carbon,Mean,UHF42,Neighborhood (UHF 42),408,Jamaica,2016 Summer,0.76,
494976,370,3,104,2024,122,Black Carbon,Mean,UHF42,Neighborhood (UHF 42),101,Kingsbridge - Riverdale,2016 Summer,0.84,
495060,370,3,104,2024,122,Black Carbon,Mean,UHF42,Neighborhood (UHF 42),401,Long Island City - Astoria,2016 Summer,1.14,
495057,370,3,104,2024,122,Black Carbon,Mean,UHF42,Neighborhood (UHF 42),310,Lower Manhattan,2016 Summer,1.15,
494979,370,3,104,2024,122,Black Carbon,Mean,UHF42,Neighborhood (UHF 42),102,Northeast Bronx,2016 Summer,0.87,
494985,370,3,104,2024,122,Black Carbon,Mean,UHF42,Neighborhood (UHF 42),104,Pelham - Throgs Neck,2016 Summer,0.9,
495090,370,3,104,2024,122,Black Carbon,Mean,UHF42,Neighborhood (UHF 42),501,Port Richmond,2016 Summer,0.73,
495072,370,3,104,2024,122,Black Carbon,Mean,UHF42,Neighborhood (UHF 42),405,Ridgewood - Forest Hills,2016 Summer,0.82,
495087,370,3,104,2024,122,Black Carbon,Mean,UHF42,Neighborhood (UHF 42),410,Rockaways,2016 Summer,0.53,
495099,370,3,104,2024,122,Black Carbon,Mean,UHF42,Neighborhood (UHF 42),504,South Beach - Tottenville,2016 Summer,0.6,
495084,370,3,104,2024,122,Black Carbon,Mean,UHF42,Neighborhood (UHF 42),409,Southeast Queens,2016 Summer,0.66,
495078,370,3,104,2024,122,Black Carbon,Mean,UHF42,Neighborhood (UHF 42),407,Southwest Queens,2016 Summer,0.72,
495093,370,3,104,2024,122,Black Carbon,Mean,UHF42,Neighborhood (UHF 42),502,Stapleton - St. George,2016 Summer,0.65,
495009,370,3,104,2024,122,Black Carbon,Mean,UHF42,Neighborhood (UHF 42),205,Sunset Park,2016 Summer,1,
495054,370,3,104,2024,122,Black Carbon,Mean,UHF42,Neighborhood (UHF 42),309,Union Square - Lower East Side,2016 Summer,1.43,
495042,370,3,104,2024,122,Black Carbon,Mean,UHF42,Neighborhood (UHF 42),305,Upper East Side,2016 Summer,1.48,
