Unique Id,indicator_id,geo_type_id,measurement_type_id,internal_id,subtopic_id,name,Measure,geo_type_name,description,geo_entity_id,geo_entity_name,year_description,data_value,message
670973,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),107,Hunts Point - Mott Haven,Summer 2020,31.49,
670972,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),201,Greenpoint,Summer 2020,29.71,
650950,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),401,Long Island City - Astoria,Summer 2019,28.36,
605255,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),308,Greenwich Village - SoHo,Summer 2018,26.35,
605241,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),205,Sunset Park,Summer 2018,29.49,
605249,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),302,Central Harlem - Morningside Heights,Summer 2018,28.41,
650957,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),408,Jamaica,Summer 2019,32.83,
650923,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),102,Northeast Bronx,Summer 2019,30.34,
670944,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),408,Jamaica,Summer 2020,29.47,
605243,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),207,East Flatbush - Flatbush,Summer 2018,30.95,
670965,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),208,Canarsie - Flatlands,Summer 2020,30.36,
650946,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),307,Gramercy Park - Murray Hill,Summer 2019,23.96,
605263,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),406,Fresh Meadows,Summer 2018,31.03,
670939,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),503,Willowbrook,Summer 2020,27.74,
650927,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),106,High Bridge - Morrisania,Summer 2019,28.62,
605252,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),305,Upper East Side,Summer 2018,26.97,
650930,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),202,Downtown - Heights - Slope,Summer 2019,27.61,
670978,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),102,Northeast Bronx,Summer 2020,30.85,
670949,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),403,Flushing - Clearview,Summer 2020,31.59,
650929,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),201,Greenpoint,Summer 2019,27.77,
670955,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),307,Gramercy Park - Murray Hill,Summer 2020,27.65,
650952,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),403,Flushing - Clearview,Summer 2019,31.3,
650947,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),308,Greenwich Village - SoHo,Summer 2019,25.04,
605258,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),401,Long Island City - Astoria,Summer 2018,29.66,
650962,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),503,Willowbrook,Summer 2019,28.8,
670957,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),305,Upper East Side,Summer 2020,29.3,
650942,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),303,East Harlem,Summer 2019,27.51,
650955,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),406,Fresh Meadows,Summer 2019,31.81,
670967,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),206,Borough Park,Summer 2020,29.38,
605253,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),306,Chelsea - Clinton,Summer 2018,24.81,
650956,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),407,Southwest Queens,Summer 2019,33.31,
670961,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),301,Washington Heights,Summer 2020,28.84,
650945,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),306,Chelsea - Clinton,Summer 2019,23.84,
670964,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),209,Bensonhurst - Bay Ridge,Summer 2020,29.84,
605246,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),210,Coney Island - Sheepshead Bay,Summer 2018,32.5,
650961,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),502,Stapleton - St. George,Summer 2019,29.1,
650941,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),302,Central Harlem - Morningside Heights,Summer 2019,27.07,
605259,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),402,West Queens,Summer 2018,30.33,
670942,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),410,Rockaways,Summer 2020,31.49,
605254,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),307,Gramercy Park - Murray Hill,Summer 2018,23.99,
650925,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),104,Pelham - Throgs Neck,Summer 2019,30.87,
670941,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),501,Port Richmond,Summer 2020,26.96,
650949,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),310,Lower Manhattan,Summer 2019,24.72,
670946,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),406,Fresh Meadows,Summer 2020,30.5,
605236,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),107,Hunts Point - Mott Haven,Summer 2018,30.62,
670940,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),502,Stapleton - St. George,Summer 2020,28.33,
605232,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),103,Fordham - Bronx Pk,Summer 2018,30.6,
650933,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),205,Sunset Park,Summer 2019,28.83,
605235,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),106,High Bridge - Morrisania,Summer 2018,29.68,
650939,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),211,Williamsburg - Bushwick,Summer 2019,29.34,
670976,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),104,Pelham - Throgs Neck,Summer 2020,32.05,
650958,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),409,Southeast Queens,Summer 2019,33.42,
605268,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),501,Port Richmond,Summer 2018,28.48,
670979,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),101,Kingsbridge - Riverdale,Summer 2020,28.49,
605250,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),303,East Harlem,Summer 2018,28.83,
605267,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),410,Rockaways,Summer 2018,35.18,
605233,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),104,Pelham - Throgs Neck,Summer 2018,31.52,
670947,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),405,Ridgewood - Forest Hills,Summer 2020,30.2,
670938,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),504,South Beach - Tottenville,Summer 2020,29.62,
650943,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),304,Upper West Side,Summer 2019,25.59,
650944,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),305,Upper East Side,Summer 2019,25.88,
650948,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),309,Union Square - Lower East Side,Summer 2019,25.72,
650940,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),301,Washington Heights,Summer 2019,27.73,
605257,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),310,Lower Manhattan,Summer 2018,25.92,
605234,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),105,Crotona -Tremont,Summer 2018,29.96,
670962,386,3,104,2027,122,Ozone (O3),Mean,UHF42,Neighborhood (UHF 42),211,Williamsburg - Bushwick,Summer 2020,29.38,
